tournament,timestamp,date_GMT,status,stadium_name,attendance,home_team_name,away_team_name,referee,Game Week,home_team_pre_match_ppg,away_team_pre_match_ppg,home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,home_team_xg,away_team_xg
UEFA Euro Qualifiers,1602172800,Oct 08 2020 - 4:00pm,complete,Boris Paichadze Dinamo Arena (Tbilisi),,Georgia,Belarus,CÃ¼neyt Ã‡akÎ¹r,,1,0.5,1.1,0.44,1,0,1,1,1,0,7,,5,2,4,0,1,0,1,3,1,0,6,6,5,2,1,4,16,15,53,47,1.18,0.96
Friendly,1602173700,Oct 08 2020 - 4:15pm,complete,VEB Arena (Moskva),,Russia,Sweden,Halis Ã–zkahya,,0,0,0.5,1.5,1,2,3,1,0,1,90+1,21;72,11,3,1,0,1,0,0,1,0,1,11,7,4,4,7,3,17,9,60,40,1.44,0.84
Friendly,1602182700,Oct 08 2020 - 6:45pm,complete,Stade Roi Baudouin (Bruxelles (Brussel)),,Belgium,Ivory Coast,Serdar GÃ¶zÃ¼bÃ¼yÃ¼k,,0,0,2,0.5,1,1,2,0,0,0,53,87,,,3,0,1,0,0,3,1,0,7,7,2,3,5,4,17,10,55,45,0.86,0.89
UEFA Euro Qualifiers,1602182700,Oct 08 2020 - 6:45pm,complete,LaugardalsvÃ¶llur (ReykjavÃ­k),,Iceland,Romania,Damir Skomina,,1.9,1.4,1.83,1.27,2,1,3,2,2,0,16;34,63,4,6,1,0,2,0,0,1,1,1,7,4,3,0,4,4,9,12,42,58,0.92,0.56
UEFA Euro Qualifiers,1602182700,Oct 08 2020 - 6:45pm,complete,Stadion Vasil Levski (Sofia),,Bulgaria,Hungary,Szymon Marciniak,,0.75,1.5,0.67,1.8,1,3,4,1,0,1,89,17;47;75,8,4,0,0,2,0,0,0,0,2,10,4,5,2,5,2,12,17,50,50,1.27,0.62
UEFA Euro Qualifiers,1602182700,Oct 08 2020 - 6:45pm,complete,Stadion Grbavica (Sarajevo),,Bosnia-Herzegovina,Northern Ireland,Antonio Miguel Mateu Lahoz,,1.3,1.63,1.27,1.4,1,1,2,1,1,0,13,53,9,7,3,0,1,0,1,2,0,1,18,10,8,4,10,6,15,17,52,48,2.35,1.28
UEFA Euro Qualifiers,1602182700,Oct 08 2020 - 6:45pm,complete,Å tadiÃ³n TehelnÃ© pole (Bratislava),,Slovakia,Republic of Ireland,ClÃ©ment Turpin,,1.63,1.63,1.7,1.56,0,0,0,0,0,0,,,5,6,2,0,3,0,0,2,1,2,10,9,4,6,6,3,13,22,50,50,1.31,1.42
UEFA Euro Qualifiers,1602182700,Oct 08 2020 - 6:45pm,complete,Hampden Park (Glasgow),,Scotland,Israel,Ovidiu HaÈ›egan,,1.5,1.1,1.42,1.09,0,0,0,0,0,0,,,3,4,3,0,3,0,0,3,1,2,11,12,3,5,8,7,16,15,41,59,1.36,1.54
UEFA Euro Qualifiers,1602182700,Oct 08 2020 - 6:45pm,complete,Ullevaal Stadion (Oslo),,Norway,Serbia,Daniele Orsato,,1.7,1.75,1.55,1.8,1,2,3,0,0,0,88,"81,102",10,4,1,0,3,0,0,1,0,3,9,14,6,9,3,5,12,12,50,50,1.46,2.03
UEFA Euro Qualifiers,1602182700,Oct 08 2020 - 6:45pm,complete,ToÅ¡e Proeski Arena (Skopje),,North Macedonia,Kosovo,Danny Makkelie,,1.4,1.38,1.67,1.22,2,1,3,3,2,1,15;33,29,6,6,6,0,1,0,3,3,0,1,13,10,11,8,2,2,13,19,44,56,1.85,1.57
Friendly,1602183600,Oct 08 2020 - 7:00pm,complete,Wembley Stadium (London),,England,Wales,Bobby Madden,,0,0,3,0.5,3,0,3,1,1,0,26;53;63,,6,3,0,0,3,0,0,0,1,2,9,8,7,3,2,5,13,16,55,45,1.33,0.96
FIFA World Cup Qualifiers,1602196200,Oct 08 2020 - 10:30pm,complete,Estadio Defensores del Chaco (AsunciÃ³n),,Paraguay,Peru,NÃ©stor FabiÃ¡n Pitana,1,0,0,1.5,0.25,2,2,4,0,0,0,66;81,52;85,3,3,3,0,1,0,2,1,1,0,13,12,9,6,4,6,13,14,57,43,1.93,1.55
FIFA World Cup Qualifiers,1602197100,Oct 08 2020 - 10:45pm,complete,Estadio Centenario (Montevideo),,Uruguay,Chile,Eber Aquino,1,0,0,1.5,1,2,1,3,1,1,0,39;90+3,54,6,3,3,0,2,0,0,3,0,2,9,6,3,4,6,2,13,18,56,44,1.29,1.01
FIFA World Cup Qualifiers,1602203400,Oct 09 2020 - 12:30am,complete,Estadio Alberto JosÃ© Armando (Ciudad de Buenos Aires),,Argentina,Ecuador,Roberto Tobar Vargas,1,0,0,2.5,2.25,1,0,1,1,1,0,13,,6,1,2,0,1,0,1,1,1,0,7,3,3,2,4,1,14,17,59,41,1.26,0.65
Friendly,1602244800,Oct 09 2020 - 12:00pm,complete,Stadion Galgenwaard (Utrecht),,Japan,Cameroon,Bas Nijhuis,,0,0,1.75,1,0,0,0,0,0,0,,,3,3,2,0,1,0,2,0,0,1,7,7,3,0,4,7,,,43,57,1.17,0.93
Friendly,1602248400,Oct 09 2020 - 1:00pm,complete,Nyayo National Stadium (Nairobi),,Kenya,Zambia,Anthony Ogwayo,,0,3,3,2.4,2,1,3,2,2,0,21;27,81,2,8,1,0,2,0,0,1,1,1,9,10,6,5,3,5,18,16,43,57,1.2,1.36
Friendly,1602255600,Oct 09 2020 - 3:00pm,complete,Stade Ben Ahmed El Abdi (El Jadida (Mazghan)),,Burkina,Congo DR,,,0,0,3,0.5,3,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Friendly,1602255600,Oct 09 2020 - 3:00pm,complete,Stade Olympique de RadÃ¨s (RadÃ¨s),,Tunisia,Sudan,Ibrahim Nour El Din,,0,3,2,1.33,3,0,3,3,3,0,17;25;35,,6,2,2,0,3,0,1,1,0,3,8,2,5,2,3,0,,,55,45,1.4,0.54
Friendly,1602259200,Oct 09 2020 - 4:00pm,complete,Complexo Desportivo Belavista (Parchal),,Congo,Gambia,,,1,0,0.5,3,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Friendly,1602262800,Oct 09 2020 - 5:00pm,complete,Stade Cheikha Ould BoÃ¯diya (Nouakchott),,Mauritania,Sierra Leone,,,0,0,3,0,2,1,3,2,1,1,21;78,31,3,4,1,0,2,0,0,1,0,2,23,13,14,11,9,2,,,56,44,2.94,1.92
Friendly,1602262800,Oct 09 2020 - 5:00pm,complete,Emirhan Sport Center Stadium (Side),,Mali,Ghana,Halil Umut Meler,,0,0,3,1.5,3,0,3,1,1,0,3;49;75,,2,2,0,0,1,0,0,0,0,1,6,2,5,0,1,2,11,15,53,47,0.96,0.47
Friendly,1602266400,Oct 09 2020 - 6:00pm,complete,Stade Prince Moulay Abdallah (Rabat),,Morocco,Senegal,Mahamadou KÃ©Ã¯ta,,0,0,2,0,3,1,4,1,1,0,10;71;86,88,2,2,1,0,1,0,1,0,1,0,4,5,4,3,0,2,15,12,46,54,0.84,0.83
Friendly,1602268200,Oct 09 2020 - 6:30pm,complete,Jacques Lemans Arena (St. Veit an der Glan),,Nigeria,Algeria,Manuel SchÃ¼ttengruber,,0,0,0.5,2,0,1,1,1,0,1,,6,3,11,2,0,1,0,1,1,1,0,10,10,3,6,7,4,11,19,40,60,1.18,1.56
FIFA World Cup Qualifiers,1602286200,Oct 09 2020 - 11:30pm,complete,Estadio Metropolitano Roberto MelÃ©ndez (Barranquilla),,Colombia,Venezuela,Guillermo Enrique Guerrero Alcivar,1,0,0,1,0.75,3,0,3,3,3,0,16;26;45+3,,2,5,0,0,3,0,0,0,1,2,9,12,7,4,2,8,20,13,50,50,1.29,1.35
FIFA World Cup Qualifiers,1602289800,Oct 10 2020 - 12:30am,complete,Neo QuÃ­mica Arena (SÃ£o Paulo- SÃ£o Paulo),,Brazil,Bolivia,LeodÃ¡n GonzÃ¡lez,1,0,0,3,0.25,5,0,5,2,2,0,16;30;49;66;73,,8,2,1,0,4,0,0,1,0,4,23,4,11,2,12,2,12,9,70,30,2.94,0.59
UEFA Nations League,1602334800,Oct 10 2020 - 1:00pm,complete,Stade Josy Barthel (LÃ«tzebuerg (Luxembourg)),,Luxembourg,Cyprus,Don Robertson,3,1.5,0,1.67,0.67,2,0,2,2,2,0,12;26,,6,5,2,0,2,0,1,1,2,0,7,10,4,3,3,7,20,9,45,55,1,1.26
UEFA Nations League,1602334800,Oct 10 2020 - 1:00pm,complete,Stadion Pod Goricom (Podgorica),,Montenegro,Azerbaijan,Ricardo De Burgos Bengoetxea,3,3,1.5,2.17,1,2,0,2,1,1,0,9;71,,3,4,2,0,3,0,0,2,1,2,7,6,4,0,3,6,20,13,46,54,1.04,0.64
Friendly,1602338400,Oct 10 2020 - 2:00pm,complete,EstÃ¡dio Municipal de Albufeira (Albufeira),,Cape Verde Islands,Guinea,,,3,0,1.5,3,1,2,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UEFA Nations League,1602345600,Oct 10 2020 - 4:00pm,complete,TÃ³rsvÃ¸llur (TÃ³rshavn- Streymoy),,Faroe Islands,Latvia,Ivaylo Stoyanov,3,3,1,2,1.17,1,1,2,2,1,1,28,25,4,7,1,0,3,0,0,1,2,1,4,11,3,3,1,8,14,11,59,41,0.85,1.28
UEFA Nations League,1602345600,Oct 10 2020 - 4:00pm,complete,Rheinpark Stadion (Vaduz),,Liechtenstein,Gibraltar,Kirill Levnikov,3,3,3,1.25,2,0,1,1,1,0,1,,10,6,3,4,0,7,0,1,3,3,4,18,9,10,4,8,5,9,12,62,38,2.28,1.07
UEFA Nations League,1602355500,Oct 10 2020 - 6:45pm,complete,Estadio Alfredo Di StÃ©fano (Madrid),,Spain,Switzerland,Ali Palabiyik,3,2,0.5,1.83,1,1,0,1,1,1,0,14,,8,3,1,0,2,0,0,1,1,1,10,3,4,3,6,0,9,10,62,38,1.44,0.63
UEFA Nations League,1602355500,Oct 10 2020 - 6:45pm,complete,NSK Olimpijs'kyj (Kyiv (Kiev)),,Ukraine,Germany,Orel Grinfeeld,3,1.5,1,1,1.5,1,2,3,1,0,1,76,20;49,0,7,1,0,2,0,1,0,0,2,8,17,3,13,5,4,7,15,33,67,0.84,2.37
UEFA Nations League,1602355500,Oct 10 2020 - 6:45pm,complete,Estadi Nacional (Andorra la Vella),,Andorra,Malta,Alain Durieux,3,0.5,0.5,0.33,1.5,0,0,0,0,0,0,,,7,4,3,0,1,0,1,2,0,1,7,5,2,3,5,2,27,17,34,66,0.82,0.83
Friendly,1602367200,Oct 10 2020 - 10:00pm,complete,Estadio Municipal Carlos Miranda (Comayagua),,Honduras,Nicaragua,Oscar Moncada,,0,1,0.5,1,1,1,2,1,0,1,90+2,40,15,3,2,0,0,1,0,2,1,0,20,15,5,4,15,11,15,8,50,50,2.43,1.64
Friendly,1602381600,Oct 11 2020 - 2:00am,complete,Estadio Nacional de Costa Rica (San JosÃ©),,Costa Rica,Panama,Keylor Herrera,,0,0,0.25,1.5,0,1,1,0,0,0,,90+2,5,2,,,,,,,,,9,7,0,2,9,5,,,62,38,1.03,0.8
Friendly,1602419400,Oct 11 2020 - 12:30pm,complete,Mpira Stadium (Blantyre),,Malawi,Zimbabwe,,,0,0,0.5,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Friendly,1602421200,Oct 11 2020 - 1:00pm,complete,Benjamin Mkapa National Stadium (Dar-es-Salaam),,Tanzania,Burundi,,,0,0,0,3,0,1,1,0,0,0,,86,5,10,1,1,4,0,1,1,2,2,11,7,3,4,8,3,,,57,43,1.43,1.17
Friendly,1602421200,Oct 11 2020 - 1:00pm,complete,Royal Bafokeng Stadium (Phokeng- NW),,South Africa,Zambia,,,1,1.5,0.5,2.4,1,2,3,0,0,0,66,78;82,4,7,3,0,1,0,1,2,0,1,9,10,6,5,3,5,12,12,50,50,,
UEFA Nations League,1602421200,Oct 11 2020 - 1:00pm,complete,Aviva Stadium (Dublin),,Republic of Ireland,Wales,Anastasios Sidiropoulos,3,0.5,3,0.5,2.67,0,0,0,0,0,0,,,3,4,2,1,2,0,1,2,1,1,12,5,2,2,10,3,14,11,49,51,1.12,0.7
UEFA Nations League,1602421200,Oct 11 2020 - 1:00pm,complete,OrtalÄ±q Stadion (AlmatÄ± (Almaty)),,Kazakhstan,Albania,Dumitru Muntean,3,1.5,1.5,0.67,1.83,0,0,0,0,0,0,,,4,6,2,0,2,0,2,0,2,0,4,13,3,7,1,6,9,15,45,55,0.75,1.57
Friendly,1602428400,Oct 11 2020 - 3:00pm,complete,EstÃ¡dio Pina Manique Campo NÂº 3  (Lisboa),,Gabon,Benin,,,0,0,0,3,0,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UEFA Nations League,1602432000,Oct 11 2020 - 4:00pm,complete,Stadion Bilino Polje (Zenica),,Bosnia-Herzegovina,Netherlands,Istvan Kovacs,3,0.5,1.5,0.33,1.83,0,0,0,0,0,0,,,2,7,2,0,1,0,1,1,0,1,5,13,2,6,3,7,8,14,29,71,0.59,1.88
UEFA Nations League,1602432000,Oct 11 2020 - 4:00pm,complete,Wembley Stadium (London),,England,Belgium,Tobias Stieler,3,2,3,1.67,2.5,2,1,3,2,1,1,39;64,16,7,5,1,0,1,0,1,0,1,0,8,8,2,2,6,6,4,4,48,52,0.98,0.91
UEFA Nations League,1602432000,Oct 11 2020 - 4:00pm,complete,Stadion Maksimir (Zagreb),,Croatia,Sweden,John Beaton,3,0,0,0.5,0.5,2,1,3,1,1,0,31;84,66,8,3,2,0,1,0,2,0,0,1,10,7,5,4,5,3,13,10,49,51,1.35,1.02
UEFA Nations League,1602432000,Oct 11 2020 - 4:00pm,complete,Ullevaal Stadion (Oslo),,Norway,Romania,Ivan KruÅ¾liak,3,1.5,2,1.67,1.33,4,0,4,2,2,0,13;39;64;74,,5,4,1,0,1,0,0,1,0,1,13,12,7,5,6,7,10,8,52,48,1.71,1.46
UEFA Nations League,1602432000,Oct 11 2020 - 4:00pm,complete,Helsingin olympiastadion (Helsinki (Helsingfors)),,Finland,Bulgaria,Erik Lambrechts,3,1.5,0.5,2,0.33,2,0,2,0,0,0,52;67,,3,7,0,0,0,0,0,0,0,0,7,9,3,4,4,5,5,11,49,51,0.92,1.32
UEFA Nations League,1602432000,Oct 11 2020 - 4:00pm,complete,Stadion Miejski (Tychy),,Armenia,Georgia,Ivan Bebek,3,1.5,2,1.83,1.17,2,2,4,1,1,0,6;89,46;74,1,4,3,0,3,0,0,3,0,3,8,9,4,4,4,5,16,16,39,61,1.14,1.11
UEFA Nations League,1602432000,Oct 11 2020 - 4:00pm,complete,A. Le Coq Arena (Tallinn),,Estonia,North Macedonia,Mohammed Al Hakim,3,0,2,0.5,1.5,3,3,6,2,1,1,33;61;76,3;80;87,4,3,2,0,3,0,1,1,0,3,6,8,3,3,3,5,18,7,42,58,0.77,1.13
UEFA Nations League,1602432000,Oct 11 2020 - 4:00pm,complete,Vilniaus LFF stadionas (Vilnius),,Lithuania,Belarus,Julian Weinberger,3,1.5,1.5,1.33,1.67,2,2,4,1,1,0,7;75,59;66,3,7,4,0,2,0,0,4,2,0,4,4,3,2,1,2,21,24,45,55,0.66,0.82
UEFA Nations League,1602441900,Oct 11 2020 - 6:45pm,complete,Stadion Energa GdaÅ„sk (GdaÅ„sk),,Poland,Italy,JosÃ© MarÃ­a SÃ¡nchez MartÃ­nez,3,1.5,2,1.17,2,0,0,0,0,0,0,,,5,9,2,0,2,0,1,1,0,2,6,10,6,4,0,6,20,18,39,61,1.07,1.42
UEFA Nations League,1602441900,Oct 11 2020 - 6:45pm,complete,LaugardalsvÃ¶llur (ReykjavÃ­k),,Iceland,Denmark,Bojan Pandzic,3,0,0.5,0,1.67,0,3,3,1,0,1,,45;46;61,3,12,2,0,0,0,0,2,0,0,8,7,5,2,3,5,16,11,38,62,1.06,1.01
UEFA Nations League,1602441900,Oct 11 2020 - 6:45pm,complete,Stade de France (Saint-Denis),,France,Portugal,Carlos Del Cerro Grande,3,3,3,2.67,2.17,0,0,0,0,0,0,,,1,4,0,0,1,0,0,0,1,0,7,8,4,5,3,3,18,12,49,51,1.07,1.21
UEFA Nations League,1602441900,Oct 11 2020 - 6:45pm,complete,Windsor Park (Belfast),,Northern Ireland,Austria,Petr Ardeleanu,3,0.5,1.5,0.33,2.17,0,1,1,1,0,1,,42,3,5,2,0,1,0,0,2,0,1,4,14,2,6,2,8,13,11,41,59,0.6,1.69
UEFA Nations League,1602441900,Oct 11 2020 - 6:45pm,complete,Sammy Ofer Stadium (Haifa),,Israel,Czech Republic,Tiago Bruno Lopes Martins,3,1,1.5,1.33,2,1,2,3,1,0,1,55,14;47,2,4,4,0,2,0,1,3,1,1,9,8,5,2,4,6,8,16,44,56,1.16,1.24
UEFA Nations League,1602441900,Oct 11 2020 - 6:45pm,complete,Hampden Park (Glasgow),,Scotland,Slovakia,Davide Massa,3,2,0.5,1.67,0.67,1,0,1,0,0,0,54,,9,5,4,0,3,0,1,3,1,2,6,6,0,3,6,3,19,14,51,49,0.82,0.77
UEFA Nations League,1602441900,Oct 11 2020 - 6:45pm,complete,VTB Arena (Moskva),,Russia,Turkey,Matej Jug,3,3,0.5,1.33,1,1,1,2,1,1,0,28,62,6,5,1,0,4,0,1,0,1,3,10,11,5,6,5,5,13,17,48,52,1.31,1.49
UEFA Nations League,1602441900,Oct 11 2020 - 6:45pm,complete,Stadion Rajko MitiÄ‡ (Beograd),,Serbia,Hungary,Sandro SchÃ¤rer,3,0.5,1.5,1,1.83,0,1,1,1,0,1,,20,7,0,3,0,4,0,0,3,1,3,7,4,4,3,3,1,13,20,55,45,1.07,0.68
UEFA Nations League,1602441900,Oct 11 2020 - 6:45pm,complete,Olympiako Stadio Spyros Louis (AthÃ­na (Athens)),,Greece,Moldova,Dennis Higler,3,2,0.5,2,0.17,2,0,2,1,1,0,45+3;50,,7,0,2,0,4,1,0,2,2,3,15,0,12,0,3,0,7,19,77,23,2.33,0.06
UEFA Nations League,1602441900,Oct 11 2020 - 6:45pm,complete,Stadiumi Fadil Vokrri (PrishtinÃ« (Pristina)),,Kosovo,Slovenia,Andy Madley,3,0.5,2,0.83,2.33,0,1,1,1,0,1,,22,5,5,2,0,1,0,0,2,1,0,7,9,4,2,3,7,8,13,55,45,1.16,0.96
Friendly,1602511200,Oct 12 2020 - 2:00pm,complete,Stade Olympique d'El Menzah (Tunis),,Togo,Sudan,,,0,1.5,1,1.33,1,1,2,0,0,0,70,9003,6,2,2,0,1,0,0,2,0,1,7,8,5,4,2,4,,,59,41,1.32,1.05
Friendly,1602512400,Oct 12 2020 - 2:20pm,complete,Rashid Stadium (Dubayy (Dubai)),,UAE,Uzbekistan,Ali Al Samahiji,,0,1,1,1,1,2,3,0,0,0,90+1,48;86,,,1,0,2,0,0,1,1,1,,,,,,,,,,,,
Friendly,1602516600,Oct 12 2020 - 3:30pm,complete,Mardan Stadyumu (Antalya),,Ghana,Qatar,HÃ¼seyin GÃ¶Ã§ek,,0,0,1.5,0.33,5,1,6,2,1,1,22;63;65;83;87,44,1,1,1,0,1,0,0,1,1,0,18,9,13,3,5,6,18,11,50,50,2.29,0.9
Friendly,1602522000,Oct 12 2020 - 5:00pm,complete,Stade Ben Ahmed El Abdi (El Jadida (Mazghan)),,Madagascar,Burkina,,,0,3,0,3,1,2,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Friendly,1602600300,Oct 13 2020 - 2:45pm,complete,Stadion Galgenwaard (Utrecht),,Japan,Ivory Coast,Jochem Kamphuis,,1,1,1.75,0.5,1,0,1,0,0,0,90+1,,5,4,0,0,0,0,0,0,0,0,13,7,6,0,7,7,16,16,47,53,1.73,0.94
UEFA Nations League,1602604800,Oct 13 2020 - 4:00pm,complete,Elbasan Arena (Elbasan),,Azerbaijan,Cyprus,Fran JoviÄ‡,4,1,0,1,0.67,0,0,0,0,0,0,,,1,1,1,0,5,0,1,0,2,3,11,9,7,2,4,7,18,22,54,46,1.63,1.18
UEFA Nations League,1602604800,Oct 13 2020 - 4:00pm,complete,Daugavas StadionÄ (RÄ«ga (Riga)),,Latvia,Malta,Iwan Griffith,4,1,0.67,1.17,1.5,0,1,1,0,0,0,,90+6,6,6,4,0,2,0,1,3,0,2,13,9,6,3,7,6,21,11,48,52,1.68,1.1
Friendly,1602612000,Oct 13 2020 - 6:00pm,complete,Stade Prince Moulay Abdallah (Rabat),,Morocco,Congo DR,Alioune Sow Sandigui,,3,0,2,0.5,1,1,2,1,1,0,45,60,6,4,1,0,1,0,0,1,0,1,12,6,3,3,9,3,13,14,52,48,1.46,0.93
Friendly,1602613800,Oct 13 2020 - 6:30pm,complete,Jacques Lemans Arena (St. Veit an der Glan),,Nigeria,Tunisia,Sebastian Gishamer,,0,3,0.5,2,1,1,2,2,1,1,21,44,4,5,2,0,5,0,0,2,3,2,8,8,2,5,6,3,18,10,44,56,1.17,1.34
UEFA Nations League,1602614700,Oct 13 2020 - 6:45pm,complete,Rheinpark Stadion (Vaduz),,Liechtenstein,San Marino,JÃ¸rgen Daugbjerg Burchardt,4,1.5,0,1.25,0.5,0,0,0,0,0,0,,,1,2,5,0,5,0,1,4,0,5,6,15,3,4,3,11,18,16,55,45,0.92,1.56
UEFA Nations League,1602614700,Oct 13 2020 - 6:45pm,complete,RheinEnergieStadion (KÃ¶ln),,Germany,Switzerland,Ruddy Buquet,4,1.67,0.33,1.5,1,3,3,6,3,1,2,28;55;60,5;26;56,7,2,3,0,3,1,1,2,1,3,11,8,6,5,5,3,12,12,64,36,1.6,1.05
UEFA Nations League,1602614700,Oct 13 2020 - 6:45pm,complete,NSK Olimpijs'kyj (Kyiv (Kiev)),,Ukraine,Spain,Pawel Gil,4,1,2.33,1,1.83,1,0,1,0,0,0,76,,3,9,0,0,0,0,0,0,0,0,3,17,2,10,1,7,11,8,28,72,0.48,2.52
UEFA Nations League,1602614700,Oct 13 2020 - 6:45pm,complete,Stadion Pod Goricom (Podgorica),,Montenegro,Luxembourg,Sascha Stegemann,4,3,2,2.17,1.67,1,2,3,2,1,1,34,42;86,3,4,4,2,1,1,2,4,1,1,8,12,4,5,4,7,19,11,52,48,1.11,1.36
UEFA Nations League,1602614700,Oct 13 2020 - 6:45pm,complete,TÃ³rsvÃ¸llur (TÃ³rshavn- Streymoy),,Faroe Islands,Andorra,Antti Munukka,4,2.33,0.67,2,0.33,2,0,2,2,2,0,19;33,,7,2,4,0,4,0,3,1,2,2,12,5,7,3,5,2,9,22,66,34,1.71,0.65
Friendly,1602615600,Oct 13 2020 - 7:00pm,complete,Cars Jeans Stadion (Den Haag),,Mexico,Algeria,Bas Nijhuis,,3,3,2.6,2,2,2,4,2,1,1,43;86,45;67,4,6,3,0,3,1,2,1,2,2,13,10,4,5,9,5,12,15,60,40,1.78,1.54
FIFA World Cup Qualifiers,1602619200,Oct 13 2020 - 8:00pm,complete,Estadio Hernando Siles (La Paz),,Bolivia,Argentina,Diego Mirko Haro Sueldo,2,0,3,0.25,2.5,1,2,3,2,1,1,24,45;79,3,7,4,0,3,0,1,3,1,2,12,17,2,4,10,13,14,9,54,46,1.22,1.72
FIFA World Cup Qualifiers,1602622800,Oct 13 2020 - 9:00pm,complete,Estadio Rodrigo Paz Delgado (Quito),,Ecuador,Uruguay,Wilmar Alexander RoldÃ¡n PÃ©rez,2,0,3,2.25,1.5,4,2,6,2,2,0,15;45+4;52;75,84;90+5,6,1,2,0,0,0,1,1,0,0,20,10,10,5,10,5,9,9,51,49,2.32,1.34
FIFA World Cup Qualifiers,1602626400,Oct 13 2020 - 10:00pm,complete,Estadio OlÃ­mpico Metropolitano de MÃ©rida (MÃ©rida),,Venezuela,Paraguay,AndrÃ©s JosÃ© Rojas Noguera,2,0,1,0.75,1.5,0,1,1,0,0,0,,85,6,6,3,0,3,0,1,2,2,1,11,10,3,4,8,6,17,13,37,63,1.08,1.23
FIFA World Cup Qualifiers,1602633600,Oct 14 2020 - 12:00am,complete,Estadio Nacional de Lima (Lima),,Peru,Brazil,Julio BascuÃ±Ã¡n GonzÃ¡lez,2,1,3,0.25,3,2,4,6,2,1,1,6;59,28;64;83;90+4,1,2,2,2,0,0,1,3,0,0,8,13,7,9,1,4,20,14,34,66,1.23,1.78
FIFA World Cup Qualifiers,1602635400,Oct 14 2020 - 12:30am,complete,Estadio Nacional Julio MartÃ­nez PrÃ¡danos (Santiago de Chile),,Chile,Colombia,DarÃ­o Herrera,2,0,3,1,1,2,2,4,3,2,1,38;41,7;90+1,1,4,5,0,2,0,2,3,2,0,6,14,4,6,2,8,16,18,49,51,0.82,1.54
Friendly,1602640800,Oct 14 2020 - 2:00am,complete,Estadio Nacional de Costa Rica (San JosÃ©),,Costa Rica,Panama,Juan CalderÃ³n,,0,3,0.25,1.5,0,1,1,1,0,1,,39,9,5,1,0,1,0,0,1,0,1,15,13,8,4,7,9,,,61,39,2.06,1.42
UEFA Nations League,1602691200,Oct 14 2020 - 4:00pm,complete,Helsingin olympiastadion (Helsinki (Helsingfors)),,Finland,Republic of Ireland,LÃ©once Lionel Tschudi,4,2,0.67,2,0.5,1,0,1,0,0,0,66,,2,6,1,0,1,0,1,0,0,1,4,9,2,6,2,3,13,12,52,48,0.76,1.37
UEFA Nations League,1602691200,Oct 14 2020 - 4:00pm,complete,Vilniaus LFF stadionas (Vilnius),,Lithuania,Albania,Karim Abed,4,1.33,1.33,1.33,1.83,0,0,0,0,0,0,,,2,5,1,0,3,0,1,0,2,1,8,12,2,6,6,6,11,20,42,58,0.85,1.68
UEFA Nations League,1602701100,Oct 14 2020 - 6:45pm,complete,Gewiss Stadium (Bergamo),,Italy,Netherlands,Anthony Taylor,4,1.67,1.33,2,1.83,1,1,2,2,1,1,16,25,4,9,3,0,0,0,1,2,0,0,8,9,8,4,0,5,13,13,50,50,1.46,1.21
UEFA Nations League,1602701100,Oct 14 2020 - 6:45pm,complete,Stadion Miejski (WrocÅ‚aw),,Poland,Bosnia-Herzegovina,Craig Pawson,4,1.33,0.67,1.17,0.33,3,0,3,2,2,0,40;45;51,,4,3,2,0,3,1,2,0,3,1,11,7,7,4,4,3,16,11,63,37,1.63,0.88
UEFA Nations League,1602701100,Oct 14 2020 - 6:45pm,complete,Wembley Stadium (London),,England,Denmark,JesÃºs Gil Manzano,4,2.33,1.33,1.67,1.67,0,1,1,1,0,1,,35,4,4,3,2,2,0,2,3,2,0,13,10,10,4,3,6,13,12,51,49,1.82,1.2
UEFA Nations League,1602701100,Oct 14 2020 - 6:45pm,complete,LaugardalsvÃ¶llur (ReykjavÃ­k),,Iceland,Belgium,Andris Treimanis,4,0,2,0,2.5,1,2,3,3,1,2,17,9;38,6,7,0,0,1,0,0,0,0,1,4,4,2,0,2,4,9,8,41,59,0.56,0.74
UEFA Nations League,1602701100,Oct 14 2020 - 6:45pm,complete,Stadion Maksimir (Zagreb),,Croatia,France,BjÃ¶rn Kuipers,4,1,2.33,0.5,2.67,1,2,3,1,0,1,64,8;79,2,5,3,0,2,0,1,2,1,1,10,4,5,2,5,2,10,9,52,48,1.53,0.68
