Player,Number,Nation,Pos,Age,Minutes,Goals,Assists,Penalty_Goals,Penalty_Shots,Shots,ShotsOnTarget,CardsYellow,CardsRed,FoulsAgainst,FoulsFor,Offsides,Crosses,TacklesWon,Intercepts,OwnGoals,home,away,date,player_team
Ben Halloran,27,au AUS,RM,32-237,66,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Brisbane Roar
Keegan Jelacic,23,nz NZL,MF,22-190,24,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Brisbane Roar
Louis Zabala,35,au AUS,LB,24-012,89,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Brisbane Roar
Austin Ludwik,6,,DF,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Brisbane Roar
Hosine Bility,15,au AUS,CB,23-272,90,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Brisbane Roar
Walid Shour,8,lb LIB,CB,28-241,90,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Brisbane Roar
Antonee Burke-Gilroy,21,au AUS,RB,27-126,78,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Brisbane Roar
Jack Hingert,19,lk SRI,"DF,MF",34-133,12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Brisbane Roar
Macklin Freke,1,au AUS,GK,26-031,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Brisbane Roar
Kazuki Nagasawa,25,jp JPN,FW,33-052,77,0,0,0,0,2,1,0,0,0,2,0,0,1,1,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Wellington Phoenix
Nathan Walker,41,nz NZL,FW,19-007,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Wellington Phoenix
Kosta Barbarouses,7,nz NZL,FW,34-353,90,0,0,0,0,2,1,0,0,2,1,0,0,1,1,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Wellington Phoenix
Sam Sutton,19,nz NZL,LM,23-058,90,0,0,0,0,0,0,0,0,0,1,0,8,2,0,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Wellington Phoenix
Matthew Sheridan,27,nz NZL,CM,20-273,90,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Wellington Phoenix
Paulo Retre,8,au AUS,CM,31-339,90,0,0,0,0,0,0,1,0,1,2,0,0,4,0,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Wellington Phoenix
Hideki Ishige,9,jp JPN,RM,30-138,88,0,1,0,0,1,0,0,0,0,1,1,6,1,0,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Wellington Phoenix
Lachlan Candy,46,nz NZL,MF,19-168,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Wellington Phoenix
Lukas Kelly-Heald,18,nz NZL,LB,19-325,65,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Wellington Phoenix
Tim Payne,6,nz NZL,"DF,FW",31-027,25,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Wellington Phoenix
Scott Wootton,4,eng ENG,CB,33-147,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Wellington Phoenix
Isaac Hughes,15,nz NZL,CB,20-318,90,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Wellington Phoenix
Corban Piper,3,nz NZL,RB,22-149,77,0,0,0,0,1,1,0,0,1,1,0,3,0,2,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Wellington Phoenix
Fin Conchie,5,nz NZL,MF,21-180,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Wellington Phoenix
Albert Kelly-Heald,30,nz NZL,GK,19-325,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Wellington Phoenix
